region_name,generate_ancestors,match_ancestors,match_samples,tsdate,total_time,first_site_position,last_site_position,sequence_length,number_of_sites,number_of_samples,number_of_trees,number_of_nodes,number_of_edges,number_of_mutations,total_size_bytes,tszip_total_size_bytes
chr16p~15M,29821.18,550662.94,48580888.12,841.89,49162214.13,16689.0,14637672.0,14620983,2207614,95070.0,708992.0,1793817.0,14582277,2207614,891081892,259298453.0
chr16p22M~28M,4170.61,228763.72,7607024.02,382.09,7840340.44,22661538.0,28286126.0,5624588,648035,95070.0,202069.0,531263.0,3544965,648035,235894132,67608195.0
chr17p18M,64668.9,50854.73,82725895.86,1167.22,82842586.71,281784.0,18276569.0,17994785,2054172,95070.0,706131.0,1683050.0,13588316,2054172,831053036,256368604.0
chr17q~36M,8039.27,457058.03,15209348.53,454.77,15674900.6,26718757.0,36149680.0,9430923,963103,95070.0,303130.0,738625.0,4403891,963103,315565868,92551393.0
chr17q36M~38M,833.21,12394.21,1342822.55,161.21,1356211.18,36458468.0,37824094.0,1365626,148058,95070.0,41648.0,195915.0,925266,148058,64186692,14897330.0
chr17q38M~45M,5535.74,338793.42,9698444.27,347.45,10043120.88,38221639.0,45432621.0,7210982,767500,95070.0,234079.0,589059.0,3379624,767500,246988140,68796728.0
chr17q45M~83M,91378.54,538253.56,59557160.34,2493.77,60189286.21,45586151.0,83087382.0,37501231,4054901,95070.0,1252598.0,2949271.0,22785855,4054901,1566515140,453011086.0
chr18p,21316.72,821594.99,47042818.55,971.31,47886701.57,148918.0,15357916.0,15208998,1600531,95070.0,490490.0,1271875.0,11525869,1600531,678296316,198611651.0
chr19p,46509.69,573241.23,67796742.99,890.76,68417384.67,75006.0,24174775.0,24099769,2396917,95070.0,797814.0,1981628.0,17134593,2396917,1018471228,298306285.0
chr20p,111395.95,42176.49,103623816.97,1379.2,103778768.61,227205.0,26274525.0,26047320,2934752,95070.0,858060.0,2093350.0,16711709,2934752,1065927332,318834809.0
chr20q31M~64M,96690.26,163107.32,42327592.11,2391.4,42589781.09,31254980.0,64237737.0,32982757,3783588,95070.0,1153190.0,2752320.0,21697573,3783588,1476560228,423183231.0
chr21q34M~43M,9548.26,494403.65,16993746.17,590.74,17498288.82,34495543.0,42960010.0,8464467,988743,95070.0,326829.0,827212.0,6195030,988743,389134132,116085129.0
chr21q44M~47M,1820.17,67860.89,3182074.19,85.4,3251840.65,44253397.0,46680226.0,2426829,304942,95070.0,109770.0,342957.0,2007819,304942,130657444,35666554.0
chr22q16M~18M,495.3,20538.62,1266488.97,190.92,1287713.81,16439646.0,18110684.0,1671038,147455,95070.0,53852.0,220890.0,1352677,147455,81382988,20488120.0
chr22q19M~21M,789.7,24137.53,3150703.51,212.08,3175842.82,18897685.0,21045540.0,2147855,223988,95070.0,75972.0,261365.0,1448721,223988,96016796,24535203.0
Total,493013.5,4383841.33,510105567.15,12560.21,514994982.19,,,206798151,23224299,,,,,,9087731364,2648242771

