type,overall_mean
random,16334.08413657212
random,15809.951368938742
random,16411.4429249218
random,15869.845035510863
random,15871.883074784431
random,15615.76125777198
random,16214.800422538696
random,15833.391217427697
random,15635.470494297111
random,17144.96680805754
random,15732.371455766075
random,15648.487230242014
random,17414.841875807677
random,15222.158607057247
random,16367.934606763403
random,15910.374734881318
random,15413.58131165496
random,15587.00688265171
random,15802.42480558015
random,15570.830547297674
random,15852.571507764334
random,15283.6444368964
random,16353.263904899108
random,16894.691777408185
random,15947.828379927125
random,16636.238133597577
random,16041.676806194402
random,16984.433820392835
random,16080.755126417038
random,16719.20723953857
random,16570.56122975891
random,16383.622489055864
random,15635.748131148657
random,15722.072493560365
random,15964.114392527086
random,15962.678676402162
random,15801.356592958742
random,18024.369733237367
random,16049.905601646475
random,15827.455915992985
random,16190.757703676545
random,16810.511240957225
random,16736.06813336324
random,15288.63986426788
random,16529.692133176184
random,15920.674578686483
random,16145.959565140289
random,15286.931024152984
random,15964.296031050686
random,16052.12631827518
random,16457.980243517002
random,15635.206569225436
random,15939.989337437171
random,15497.404015089673
random,16237.864383321574
random,16471.674402292927
random,16571.088740456446
random,16445.909138681283
random,16517.87515812301
random,15471.816077815178
random,16350.944962676505
random,16058.109769569386
random,16322.390335872333
random,15614.852698981642
random,16165.776571041075
random,15823.777940691907
random,15748.784023090124
random,15469.759290606771
random,16848.72822457189
random,16894.749244731735
random,15852.56907906755
random,15930.86139344734
random,15605.840130433024
random,15634.194281114673
random,15538.679637974128
random,15836.100850136576
random,15698.604176490744
random,15378.624880065321
random,17762.714444163557
random,17064.337527176616
random,15954.3452233981
random,15815.659565259532
random,16462.150719787223
random,16084.34175539481
random,15959.726959405876
random,16357.964319154231
random,15832.25316064692
random,15868.08812652366
random,15148.399015711266
random,15733.202267659428
random,15999.577479840878
random,16456.78996855818
random,16114.18715485224
random,15887.179493649332
random,15310.918999686377
random,15326.481715082446
random,15294.513758339524
random,16773.63174029919
random,16347.035898606839
random,16650.35620730554
observed,16268.799879490398
